model,target,horizon_event_steps,outer_test_unit,planned_count,predicted_count,matured_count,failed_count,metric_status,mae,rmse,mase_training_scale,mase,last_value_mae,relative_mae_vs_last_value,skill_vs_last_value,comparison_status
global_drift,esr_ratio,3,stress2:column:05,5,5,5,0,OK,0.080067571430714274,0.084001539590594462,0.05245940000000001,1.5262769194980168,0.13039600000000001,0.61403395373105207,0.38596604626894793,OK
global_drift,esr_ratio,3,stress2:column:06,5,5,5,0,OK,0.086541428571428505,0.092233040772838421,0.052558633334000002,1.6465692329074537,0.12606199999999995,0.68649893363129677,0.31350106636870323,OK
last_value,capacity_ratio,1,stress2:column:01,7,7,7,0,OK,0.022649999999999965,0.023882330886482304,0.021647333333999999,1.0463182531783324,0.022649999999999965,1,0,OK
last_value,capacity_ratio,1,stress2:column:02,7,7,7,0,OK,0.027628571428571398,0.029210032034021643,0.020801333333999996,1.3282115614873693,0.027628571428571398,1,0,OK
last_value,capacity_ratio,1,stress2:column:03,7,7,7,0,OK,0.026917142857142844,0.028342724438053364,0.020928333333999995,1.2861579767278208,0.026917142857142844,1,0,OK
last_value,capacity_ratio,1,stress2:column:04,7,7,7,0,OK,0.028849999999999962,0.030969115260207198,0.020602333333999998,1.4003268237772297,0.028849999999999962,1,0,OK
last_value,capacity_ratio,1,stress2:column:05,7,7,7,0,OK,0.026713809528571386,0.02812681713583888,0.020978,1.2734202273129653,0.026713809528571386,1,0,OK
last_value,capacity_ratio,1,stress2:column:06,7,7,7,0,OK,0.028642857142857098,0.031348524686179345,0.020729333334,1.3817548630894672,0.028642857142857098,1,0,OK
last_value,capacity_ratio,2,stress2:column:01,6,6,6,0,OK,0.047924999999999975,0.048751498609444451,0.021647333333999999,2.2138985555660762,0.047924999999999975,1,0,OK
last_value,capacity_ratio,2,stress2:column:02,6,6,6,0,OK,0.05853666666666666,0.05972518368884825,0.020801333333999996,2.8140824305232335,0.05853666666666666,1,0,OK
last_value,capacity_ratio,2,stress2:column:03,6,6,6,0,OK,0.057199999999999994,0.058111088729547414,0.020928333333999995,2.7331368956682924,0.057199999999999994,1,0,OK
last_value,capacity_ratio,2,stress2:column:04,6,6,6,0,OK,0.060574999999999969,0.06293030894039317,0.020602333333999998,2.9402009480175306,0.060574999999999969,1,0,OK
last_value,capacity_ratio,2,stress2:column:05,6,6,6,0,OK,0.05566888889499997,0.057076302186238222,0.020978,2.6536795163981299,0.05566888889499997,1,0,OK
last_value,capacity_ratio,2,stress2:column:06,6,6,6,0,OK,0.056716666666666637,0.06033891778943333,0.020729333334,2.7360584034625295,0.056716666666666637,1,0,OK
last_value,capacity_ratio,3,stress2:column:01,5,5,5,0,OK,0.071510000000000004,0.07221899154654543,0.021647333333999999,3.3034091957961444,0.071510000000000004,1,0,OK
last_value,capacity_ratio,3,stress2:column:02,5,5,5,0,OK,0.087703999999999976,0.088437523031799095,0.020801333333999996,4.2162681878015427,0.087703999999999976,1,0,OK
last_value,capacity_ratio,3,stress2:column:03,5,5,5,0,OK,0.085128000000000009,0.085689707900073978,0.020928333333999995,4.0675957631896935,0.085128000000000009,1,0,OK
last_value,capacity_ratio,3,stress2:column:04,5,5,5,0,OK,0.089717999999999964,0.091695422023130427,0.020602333333999998,4.3547494618941291,0.089717999999999964,1,0,OK
last_value,capacity_ratio,3,stress2:column:05,5,5,5,0,OK,0.082098666679999988,0.083190320780571397,0.020978,3.9135602383449322,0.082098666679999988,1,0,OK
last_value,capacity_ratio,3,stress2:column:06,5,5,5,0,OK,0.081439999999999999,0.085162573939495265,0.020729333334,3.9287322311722925,0.081439999999999999,1,0,OK
last_value,esr_ratio,1,stress2:column:01,7,7,7,0,OK,0.041235714285714299,0.047159338569213567,0.052256633334000005,0.78910009418622251,0.041235714285714299,1,0,OK
last_value,esr_ratio,1,stress2:column:02,7,7,7,0,OK,0.037514285714285736,0.042601801772762099,0.052756633334000005,0.71108187432629344,0.037514285714285736,1,0,OK
last_value,esr_ratio,1,stress2:column:03,7,7,7,0,OK,0.039077142857142873,0.044907420958488119,0.052486833334000005,0.74451324979877231,0.039077142857142873,1,0,OK
last_value,esr_ratio,1,stress2:column:04,7,7,7,0,OK,0.040078571428571408,0.045000281745149744,0.052305033334000009,0.76624693406932609,0.040078571428571408,1,0,OK
last_value,esr_ratio,1,stress2:column:05,7,7,7,0,OK,0.03952857142857142,0.044228441925062228,0.05245940000000001,0.75350788283074932,0.03952857142857142,1,0,OK
last_value,esr_ratio,1,stress2:column:06,7,7,7,0,OK,0.038794285714285684,0.045248810876246062,0.052558633334000002,0.73811443055901893,0.038794285714285684,1,0,OK
