model,target,horizon_event_steps,outer_test_unit,planned_count,predicted_count,matured_count,failed_count,metric_status,mae,rmse,mase_training_scale,mase,last_value_mae,relative_mae_vs_last_value,skill_vs_last_value,comparison_status
global_drift,esr_ratio,3,stress2:column:05,6,6,6,0,OK,0.081330615067261913,0.084619821706695755,0.05245940000000001,1.550353512759618,0.13672777778333334,0.59483607783155124,0.40516392216844876,OK
global_drift,esr_ratio,3,stress2:column:06,6,6,6,0,OK,0.084734523809523732,0.089689426217197193,0.052558633334000002,1.6121903945076375,0.13498499999999994,0.62773288742840883,0.37226711257159117,OK
last_value,capacity_ratio,1,stress2:column:01,8,8,8,0,OK,0.020258749999999964,0.022374512564523014,0.021647333333999999,0.93585430073185594,0.020258749999999964,1,0,OK
last_value,capacity_ratio,1,stress2:column:02,8,8,8,0,OK,0.024991249999999965,0.027420846768471594,0.020801333333999996,1.2014253893596092,0.024991249999999965,1,0,OK
last_value,capacity_ratio,1,stress2:column:03,8,8,8,0,OK,0.024326249999999994,0.026602364321616209,0.020928333333999995,1.1623596400043845,0.024326249999999994,1,0,OK
last_value,capacity_ratio,1,stress2:column:04,8,8,8,0,OK,0.026016249999999977,0.029051237280019564,0.020602333333999998,1.2627817237121099,0.026016249999999977,1,0,OK
last_value,capacity_ratio,1,stress2:column:05,8,8,8,0,OK,0.024040416671249967,0.02637754317872432,0.020978,1.1459822991348063,0.024040416671249967,1,0,OK
last_value,capacity_ratio,1,stress2:column:06,8,8,8,0,OK,0.025612499999999969,0.029365094074427826,0.020729333334,1.2355679551927827,0.025612499999999969,1,0,OK
last_value,capacity_ratio,2,stress2:column:01,7,7,7,0,OK,0.04352285714285712,0.045596058413607865,0.021647333333999999,2.0105412741299973,0.04352285714285712,1,0,OK
last_value,capacity_ratio,2,stress2:column:02,7,7,7,0,OK,0.053278571428571411,0.055901416158908056,0.020801333333999996,2.5613055938816687,0.053278571428571411,1,0,OK
last_value,capacity_ratio,2,stress2:column:03,7,7,7,0,OK,0.051874285714285713,0.0543246828930328,0.020928333333999995,2.4786630108767995,0.051874285714285713,1,0,OK
last_value,capacity_ratio,2,stress2:column:04,7,7,7,0,OK,0.054818571428571418,0.058764203267927348,0.020602333333999998,2.6607943158605445,0.054818571428571418,1,0,OK
last_value,capacity_ratio,2,stress2:column:05,7,7,7,0,OK,0.050521904767142835,0.053361242258414876,0.020978,2.4083279991964361,0.050521904767142835,1,0,OK
last_value,capacity_ratio,2,stress2:column:06,7,7,7,0,OK,0.051042857142857119,0.056231295302781058,0.020729333334,2.4623491899344994,0.051042857142857119,1,0,OK
last_value,capacity_ratio,3,stress2:column:01,6,6,6,0,OK,0.06578666666666666,0.067650477455816968,0.021647333333999999,3.0390194326309929,0.06578666666666666,1,0,OK
last_value,capacity_ratio,3,stress2:column:02,6,6,6,0,OK,0.080658333333333318,0.082835039184312953,0.020801333333999996,3.8775559257779131,0.080658333333333318,1,0,OK
last_value,capacity_ratio,3,stress2:column:03,6,6,6,0,OK,0.079050000000000009,0.080706697161181548,0.020928333333999995,3.777176076968157,0.079050000000000009,1,0,OK
last_value,capacity_ratio,3,stress2:column:04,6,6,6,0,OK,0.082054999999999975,0.085589562934585237,0.020602333333999998,3.9828013006946517,0.082054999999999975,1,0,OK
last_value,capacity_ratio,3,stress2:column:05,6,6,6,0,OK,0.075804444456666661,0.078068977836811507,0.020978,3.6135210437919087,0.075804444456666661,1,0,OK
last_value,capacity_ratio,3,stress2:column:06,6,6,6,0,OK,0.075266666666666662,0.079827605918420627,0.020729333334,3.6309255803810725,0.075266666666666662,1,0,OK
last_value,esr_ratio,1,stress2:column:01,8,8,8,0,OK,0.045812500000000006,0.051995967391712208,0.052256633334000005,0.87668296017441261,0.045812500000000006,1,0,OK
