provisional_key,listed_segment_count,exact_row_digest,waveform_fingerprint,physical_overlap,status
batch4/14,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/15,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/16,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/17,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/18,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/19,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/2,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/20,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/21,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/22,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/23,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/24,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/25,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/26,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/27,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/28,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/29,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/3,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/30,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/4,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/5,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/6,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/7,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/8,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/9,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
