scope,provisional_trajectory,field,parser_class,dtype,shape,element_count,finite_count,nan_count,inf_count,minimum,maximum,unit,unit_evidence,sampling_granularity,provenance_class,content_sha256,status,reason
summary,ch3,IR,ndarray,float64,[100],100,100,0,0,0.0168487001210451,0.0326289795339108,ohm_internal_resistance_not_ESR,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,1123fb1fed87088c81c94cd896b7a6b3c84e549383ec489184f20f4f65f22438,OBSERVED_NUMERIC,raw numeric array statically audited
summary,ch3,MaxTemp,ndarray,float64,[100],100,100,0,0,20.39504,37.05632,degC,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,37c5db50f7364285744c32cfc620ff8b94ddece87648bf14901cee885dc8c8d9,OBSERVED_NUMERIC,raw numeric array statically audited
summary,ch3,MinTemp,ndarray,float64,[100],100,100,0,0,19.89208,21.04595,degC,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,02b222d18442df73d71d180271a352e9a122786ce020af77e70ea4de13b7a88b,OBSERVED_NUMERIC,raw numeric array statically audited
summary,ch3,AvgTemp,ndarray,float64,[100],100,100,0,0,20.39504,30.808935666779764,degC,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,052d26b53ebcf9155aae3c06c59c3dfaf671205b3e582c1c30e205ce9d08e467,OBSERVED_NUMERIC,raw numeric array statically audited
summary,ch3,ChargeTime,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,duration_unavailable_opaque,pinned_information_pdf_only,author_per_cycle_summary,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
summary,ch3,DischargeTime,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,duration_unavailable_opaque,pinned_information_pdf_only,author_per_cycle_summary,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
summary,ch3,Method,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,string_unavailable_opaque,pinned_information_pdf_only,author_per_cycle_summary,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
complete,ch4,Time,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,datetime_unavailable_opaque,pinned_information_pdf_only,measurement_log_row,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
complete,ch4,Cycle,ndarray,uint8,[1344049],1344049,1344049,0,0,1,150,cycle_index,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,2db158a9d7c51ab2436791cbb543303cc81396643c221f91aa2eb70e74abe69f,BLOCKED_UNEXPECTED_RAW_DTYPE,frozen raw audit observed Cycle as uint16
complete,ch4,Current,ndarray,float64,[1344049],1344049,1344049,0,0,-4.000737,8.002098,A,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,62b37c30d4fc38d6a59ec94d0e2670163e59dda32157eb29609d1860a9909fbb,OBSERVED_NUMERIC,raw numeric array statically audited
